,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,31.6259437648946,NaN
,A02,SYBR,,Unkn,,32.9146042780133,NaN
,A03,SYBR,,Unkn,,33.3299032775745,NaN
,A04,SYBR,,Unkn,,32.150390072203,NaN
,A05,SYBR,,Unkn,,33.6614324300063,NaN
,A06,SYBR,,Unkn,,31.5446056540609,NaN
,A07,SYBR,,Unkn,,34.0434400650855,NaN
,A08,SYBR,,Unkn,,32.0146472956621,NaN
,A09,SYBR,,Unkn,,NaN,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,A11,SYBR,,Unkn,,NaN,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,A13,SYBR,,Unkn,,NaN,NaN
,A14,SYBR,,Unkn,,NaN,NaN
,A15,SYBR,,Unkn,,NaN,NaN
,A16,SYBR,,Unkn,,NaN,NaN
,A17,SYBR,,Unkn,,NaN,NaN
,A18,SYBR,,Unkn,,NaN,NaN
,A19,SYBR,,Unkn,,NaN,NaN
,A20,SYBR,,Unkn,,NaN,NaN
,A21,SYBR,,Unkn,,NaN,NaN
,A22,SYBR,,Unkn,,NaN,NaN
,A23,SYBR,,Unkn,,NaN,NaN
,A24,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,34.4472103001501,NaN
,B02,SYBR,,Unkn,,33.0744607850623,NaN
,B03,SYBR,,Unkn,,33.4568198488407,NaN
,B04,SYBR,,Unkn,,32.6275870052858,NaN
,B05,SYBR,,Unkn,,35.6261119729277,NaN
,B06,SYBR,,Unkn,,34.1493033792896,NaN
,B07,SYBR,,Unkn,,34.4678414415503,NaN
,B08,SYBR,,Unkn,,33.2600146471276,NaN
,B09,SYBR,,Unkn,,NaN,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,B11,SYBR,,Unkn,,NaN,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,B13,SYBR,,Unkn,,NaN,NaN
,B14,SYBR,,Unkn,,NaN,NaN
,B15,SYBR,,Unkn,,NaN,NaN
,B16,SYBR,,Unkn,,NaN,NaN
,B17,SYBR,,Unkn,,NaN,NaN
,B18,SYBR,,Unkn,,NaN,NaN
,B19,SYBR,,Unkn,,NaN,NaN
,B20,SYBR,,Unkn,,NaN,NaN
,B21,SYBR,,Unkn,,NaN,NaN
,B22,SYBR,,Unkn,,NaN,NaN
,B23,SYBR,,Unkn,,NaN,NaN
,B24,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,33.8595914128546,NaN
,C02,SYBR,,Unkn,,33.0882539008142,NaN
,C03,SYBR,,Unkn,,35.0008891462202,NaN
,C04,SYBR,,Unkn,,33.6944812050492,NaN
,C05,SYBR,,Unkn,,32.8585406613187,NaN
,C06,SYBR,,Unkn,,33.4137297576958,NaN
,C07,SYBR,,Unkn,,34.5097654709866,NaN
,C08,SYBR,,Unkn,,32.28685781664,NaN
,C09,SYBR,,Unkn,,NaN,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Unkn,,NaN,NaN
,C12,SYBR,,Unkn,,NaN,NaN
,C13,SYBR,,Unkn,,NaN,NaN
,C14,SYBR,,Unkn,,NaN,NaN
,C15,SYBR,,Unkn,,NaN,NaN
,C16,SYBR,,Unkn,,NaN,NaN
,C17,SYBR,,Unkn,,NaN,NaN
,C18,SYBR,,Unkn,,NaN,NaN
,C19,SYBR,,Unkn,,NaN,NaN
,C20,SYBR,,Unkn,,NaN,NaN
,C21,SYBR,,Unkn,,NaN,NaN
,C22,SYBR,,Unkn,,NaN,NaN
,C23,SYBR,,Unkn,,NaN,NaN
,C24,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,33.1835484785658,NaN
,D02,SYBR,,Unkn,,34.8228201256305,NaN
,D03,SYBR,,Unkn,,35.1037394001291,NaN
,D04,SYBR,,Unkn,,34.167812996553,NaN
,D05,SYBR,,Unkn,,33.919498354001,NaN
,D06,SYBR,,Unkn,,32.1733574708219,NaN
,D07,SYBR,,Unkn,,35.1680552809074,NaN
,D08,SYBR,,Unkn,,32.9491556018773,NaN
,D09,SYBR,,Unkn,,34.3140871523985,NaN
,D10,SYBR,,Unkn,,32.991399166084,NaN
,D11,SYBR,,Unkn,,34.7017574712515,NaN
,D12,SYBR,,Unkn,,33.568861267009,NaN
,D13,SYBR,,Unkn,,NaN,NaN
,D14,SYBR,,Unkn,,NaN,NaN
,D15,SYBR,,Unkn,,NaN,NaN
,D16,SYBR,,Unkn,,NaN,NaN
,D17,SYBR,,Unkn,,NaN,NaN
,D18,SYBR,,Unkn,,NaN,NaN
,D19,SYBR,,Unkn,,NaN,NaN
,D20,SYBR,,Unkn,,NaN,NaN
,D21,SYBR,,Unkn,,NaN,NaN
,D22,SYBR,,Unkn,,NaN,NaN
,D23,SYBR,,Unkn,,NaN,NaN
,D24,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,34.1164278607122,NaN
,E02,SYBR,,Unkn,,33.4625603814988,NaN
,E03,SYBR,,Unkn,,32.6579301827988,NaN
,E04,SYBR,,Unkn,,32.258780041622,NaN
,E05,SYBR,,Unkn,,33.4638907455893,NaN
,E06,SYBR,,Unkn,,34.6209292226059,NaN
,E07,SYBR,,Unkn,,33.3195372306061,NaN
,E08,SYBR,,Unkn,,33.028447544369,NaN
,E09,SYBR,,Unkn,,NaN,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,E13,SYBR,,Unkn,,NaN,NaN
,E14,SYBR,,Unkn,,NaN,NaN
,E15,SYBR,,Unkn,,NaN,NaN
,E16,SYBR,,Unkn,,NaN,NaN
,E17,SYBR,,Unkn,,NaN,NaN
,E18,SYBR,,Unkn,,NaN,NaN
,E19,SYBR,,Unkn,,NaN,NaN
,E20,SYBR,,Unkn,,NaN,NaN
,E21,SYBR,,Unkn,,NaN,NaN
,E22,SYBR,,Unkn,,NaN,NaN
,E23,SYBR,,Unkn,,NaN,NaN
,E24,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,33.4896922206771,NaN
,F02,SYBR,,Unkn,,35.2507686117471,NaN
,F03,SYBR,,Unkn,,32.8653398714587,NaN
,F04,SYBR,,Unkn,,32.9130486342236,NaN
,F05,SYBR,,Unkn,,33.6910682623572,NaN
,F06,SYBR,,Unkn,,NaN,NaN
,F07,SYBR,,Unkn,,33.7312560715681,NaN
,F08,SYBR,,Unkn,,34.4087485643633,NaN
,F09,SYBR,,Unkn,,35.4058793231986,NaN
,F10,SYBR,,Unkn,,35.1689782809967,NaN
,F11,SYBR,,Unkn,,33.5523230855209,NaN
,F12,SYBR,,Unkn,,34.1642324313781,NaN
,F13,SYBR,,Unkn,,NaN,NaN
,F14,SYBR,,Unkn,,NaN,NaN
,F15,SYBR,,Unkn,,NaN,NaN
,F16,SYBR,,Unkn,,NaN,NaN
,F17,SYBR,,Unkn,,NaN,NaN
,F18,SYBR,,Unkn,,NaN,NaN
,F19,SYBR,,Unkn,,NaN,NaN
,F20,SYBR,,Unkn,,NaN,NaN
,F21,SYBR,,Unkn,,NaN,NaN
,F22,SYBR,,Unkn,,NaN,NaN
,F23,SYBR,,Unkn,,NaN,NaN
,F24,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,35.848965015269,NaN
,G02,SYBR,,Unkn,,39.3730265619488,NaN
,G03,SYBR,,Unkn,,35.1022470012828,NaN
,G04,SYBR,,Unkn,,36.6661835238363,NaN
,G05,SYBR,,Unkn,,36.2898643188255,NaN
,G06,SYBR,,Unkn,,36.1290876803836,NaN
,G07,SYBR,,Unkn,,35.0199031932652,NaN
,G08,SYBR,,Unkn,,37.1834957867991,NaN
,G09,SYBR,,Unkn,,38.0340923084925,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,G13,SYBR,,Unkn,,NaN,NaN
,G14,SYBR,,Unkn,,NaN,NaN
,G15,SYBR,,Unkn,,NaN,NaN
,G16,SYBR,,Unkn,,NaN,NaN
,G17,SYBR,,Unkn,,NaN,NaN
,G18,SYBR,,Unkn,,NaN,NaN
,G19,SYBR,,Unkn,,NaN,NaN
,G20,SYBR,,Unkn,,NaN,NaN
,G21,SYBR,,Unkn,,NaN,NaN
,G22,SYBR,,Unkn,,NaN,NaN
,G23,SYBR,,Unkn,,NaN,NaN
,G24,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,39.8793778948079,NaN
,H02,SYBR,,Unkn,,34.8541857681918,NaN
,H03,SYBR,,Unkn,,35.3886546815678,NaN
,H04,SYBR,,Unkn,,39.6173947369864,NaN
,H05,SYBR,,Unkn,,36.4099693905266,NaN
,H06,SYBR,,Unkn,,38.2782020960288,NaN
,H07,SYBR,,Unkn,,38.3852163560379,NaN
,H08,SYBR,,Unkn,,39.7112949385699,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
